news_0001_0001 备受瞩目的高考又快要到了，来自教育部的数据显示。
news_0008_0058 百分之六十七点一的受访家长，赞同儿童票收取以年龄为准。
news_0008_0059 与之相类似的调查其实还有很多。
news_0008_0060 尽管这个具体的数据是千差万别，但是有一点却基本是一致的。
news_0008_0061 那就是大多数的家长都觉得，不应该单纯的以孩子的身高来决定免票与否。
news_0008_0062 所以说呢很多家长就呼吁哈，要对儿童免票政策进行修改。
news_0008_0063 还有很多人建议，说能不能尝试一下推行这年龄和身高相结合的免票政策呢。
news_0009_0064 近日呀河南十六家景区做出了一些尝试。
news_0009_0065 他们就宣布，从六一儿童节开始，试行儿童免票新标准，不再把身高作为免票的唯一标准。
news_0009_0066 其中呢郑州市动物园就决定了，从五月二十七号起，一米二以下或者是七周岁以下的儿童都可以免票入园。
news_0009_0067 试行期呢为一个月。
news_0009_0068 七岁以下的个子超过一米二的儿童。
news_0009_0069 这就意味着家长只需要提供有效的证件来证明孩子的年龄，就可以去享受儿童的免票政策。
news_0009_0070 我们呢也期待这次尝试的效果，希望也能给大家带来一些警示哈。
news_0010_0071 大河网对于这件事发表了一篇文章咱们来看一下啊它的标题是，儿童票的核心是儿童福利。
news_0010_0072 文章就说了啊，通过身高与年龄相结合来扩大儿童免票的范围。
news_0010_0073 其积极意义呢不仅仅是让利于民这么简单，更重要的是，彰显了公共福利无差别供给的价值观念。
news_0010_0074 无论孩子的身高是多少，属于他们的专属福利都不会因此而打折。
news_0010_0075 哪怕呢因此会增加一些工作上的压力。
news_0010_0076 在兼顾效率与公平的前提之下，公共服务领域此类管理的创新可以多多益善。
news_0010_0077 确实啊包括现在我身边也有很多的小朋友。
news_0010_0078 他们呢，明明是在七周岁以下但是身高却远远的超过了一米二。
news_0010_0079 对于家长来说说这孩子长这么高啊，这很多衣服啊这个淘汰得很快这就不说了。
news_0010_0080 很多地方明明可以享受很长时间的免费，但是呢孩子长得太快了很快就得付费了。
news_0010_0081 所以我也觉得，让年龄和身高共同来决定儿童票的收取是一个非常科学的办法。
news_0011_0082 说到自信哪，每个人都应该自信，但是有的时候，过于自信那就是自大了，总有栽跟头的那天。
news_0011_0083 在陕西安康有一个十八岁的小伙子就是这样啊，他自信的是什么呢，他特别相信自己的盗窃技术。
news_0011_0084 他坚信，就以自己的水平，警方这辈子都不可能抓到他。
news_0011_0085 他也不知道这自信到底从哪来的哈。
news_0011_0086 但是，多亏了他的自信让警方省了很多的麻烦。
news_0011_0087 今年一月份以来，当地好几家临街的烟酒店和药店被偷了。
news_0011_0088 民警这么一调查，发现这几起案件是同一个人干的，于是就上报到了刑警队来核查。
news_0011_0089 这一核查呢又牵扯出几起盗窃案，手法也是一样的。
news_0011_0090 很快警方就锁定了犯罪嫌疑人十八岁的任某，并且呢在网上发布了通缉令。
news_0011_0091 今年五月三十号这任某正在西安闲逛呢，突然呢就看到朋友圈里边有人转发自己被通缉的消息。
news_0012_0092 按我们正常人的思维去想啊，这个时候的任某应该是心惊肉跳才对呀。
news_0012_0093 但是这位啊丝毫不在意，而且他还认定了，这绝对是警察弄错了。
news_0012_0094 拜托，这什么强盗逻辑呀啊。
news_0012_0095 那他究竟是怎么想的呢，这是因为哈这个任某是个惯犯。
news_0012_0096 去年六月份因为盗窃被抓过一回，出狱之后呢他不仅不思悔改反而认为。
news_0012_0097 我这之所以能被你们抓住，主要原因还是怪自己呀，这技术呢是技不如人。
news_0012_0098 后来他出来之后，苦心钻研盗窃技巧，直到自己认为。
news_0012_0099 我现在可以出师了啊，绝对已经炉火纯青了，不会留下丝毫的蛛丝马迹。
news_0012_0100 那因为这样的自信呢他才觉得警察是搞错了。
news_0012_0101 不仅如此，任某还打了个电话给幺幺零。
news_0013_0102 那边幺幺零的工作人员一听呢差点就笑出声了啊。
news_0013_0103 林子大了什么鸟都有啊还有这样的嫌疑人。
news_0013_0104 要说这幺幺零的工作人员也特别的机智，当时总不能跟他说。
news_0013_0105 那越是这么说这个任某越肯定跑路了，于是呢，幺幺零的工作人员就说了。
news_0013_0106 你到派出所来反映一下情况我们呢，就把你这记录给删喽。
news_0013_0107 这任某一听。
news_0013_0108 于是这任某一听之后呢大摇大摆地就回到了安康，来到了派出所进门之后就大声喊。
news_0013_0109 警察上去三下五除二就给逮住了。
news_0013_0110 警方就表示了，由于这个任某啊已经年满十八周岁了。
news_0013_0111 再加上涉案金额更是高达了十几万元，还是累犯。
news_0013_0112 估计呀，会从重处罚。
news_0013_0113 真是不知道这位哪来的自信啊，你就没听过那句话吗，天网恢恢那是疏而不漏啊。
news_0014_0114 之前呢咱们呢说过很多有趣的外卖订单的留言。
news_0014_0115 有的呢是要求，外卖小哥必须是帅哥哈，还有的要要求，这外卖小哥得会唱歌。
news_0014_0116 最近呢辽宁大连一位外卖小哥也接到了一份非常奇葩的订单。
news_0014_0117 这个订单上的留言写的是什么呢。
news_0014_0118 请找一个会打大虫子的外卖小哥。
news_0014_0119 这订餐的这位姑娘呢姓穆。
news_0014_0120 五月三十一号晚上，她就去闺蜜家玩。
news_0014_0121 突然俩人就看到天花板上有一只长了很多条腿的大虫子。
news_0014_0122 这俩姑娘当时给吓坏了哈。
news_0014_0123 俩人一直盯着这只大虫子，但是这虫子啊根本不为所动，心想哟，害怕了吧你们啊。
news_0014_0124 也是啊，你光拿眼神去盯着虫子看你又不去赶它，你说这虫子它才懒得动呢。
news_0015_0125 你说万一这虫子掉下来，这该怎么办呢。
news_0015_0126 再说了，当时时间已经很晚了，万一这虫子一不小心睡着了。
news_0015_0127 这俩姑娘根本就不敢睡。
news_0015_0128 那用扫帚打吧，万一没打好掉头上那不得崩溃了吗。
news_0015_0129 于是俩姑娘就盯着虫子一直盯到半夜十二点。
news_0015_0130 于是啊这穆姑娘就想到了订夜宵，至于吃什么根本就不重要。
news_0015_0131 重要的是，赶紧找来一个会打大虫子的外卖小哥把那大虫子给打掉啊。
news_0015_0132 很快呢外卖小哥就上门了。
news_0015_0133 可是啊，不知道是不是被这开门的声音给吓着了，那只虫子一下子不知道溜哪儿去了。
news_0015_0134 这呀也算是它命大，像这么害怕虫子的姑娘，我觉得现在不太多见了。
news_0016_0135 啊当然了，当着男朋友的面该害怕是害怕啊。
news_0016_0136 一只拖鞋就能解决的问题。
news_0016_0137 不过对于某些虫子啊，别看它们个头不大，咱们还是不能轻视。
news_0016_0138 首先呢，就是蜱虫哈，这种虫子会吸血，一般是藏在草丛和树林里。
news_0016_0139 夏天的时候呢咱们在草地上长时间的坐着躺着就特别容易中招。
news_0016_0140 再有第二种就是毛毛虫，这些虫子毛上有毒，如果被蜇了啊可千万不能抓。
news_0016_0141 应该直接用胶布粘在这创面上，把皮肤上的毒毛给粘掉。
news_0016_0142 再有一种就叫隐翅虫，这种虫呢夏天和秋天会比较多。
news_0016_0143 它们的身上呢有这种强酸的液体，如果一个不小心碰到皮肤上。
news_0016_0144 赶紧啊用水来冲洗，然后再用盐水或者苏打水来敷一敷。
news_0016_0145 严重的话呢还得口服过敏药呢。
news_0017_0146 现在的网约服务是越来越多了，比如说什么外卖小哥呀代驾司机呀家政服务工啊等等等等。
news_0017_0147 国家信息中心的数据显示，目前我国共享经济的服务提供者人数呢大概有七千万人。
news_0017_0148 这个绝对不是一笔小数目哈，但是尴尬的是呢，不少网约工的劳动关系往往比较模糊。
news_0017_0149 前两天工人日报就关注了这方面的问题。
news_0017_0150 工人日报在报导当中举了个例子啊。
news_0017_0151 说有一个外卖小哥王师傅，在送外卖的时候和他人发生了碰撞，导致腿部骨折。
news_0017_0152 尽管保险也赔了，但赔的三万块钱呢只够医药费。
news_0017_0153 而且不能工作这段时间呢王师傅并没有工资和补贴，那这段时间又该怎么养家糊口呢。
news_0017_0154 有人可能会说了，那为什么不去找这公司来要呢，要说模糊呢就模糊在这个地方。
news_0017_0155 王师傅自己也不知道该找谁要。
news_0018_0156 因为随着网约工越来越多，各种新型用工模式呢也层出不穷。
news_0018_0157 有的是APP平台运营商自己来运营。
news_0018_0158 有的呢是各种平台关联公司和劳务派遣公司，劳务外包公司商业合作公司等等。
news_0018_0159 而大多数的网约工在签约合同的时候呢都不会仔细的去看合同。
news_0018_0160 有的甚至连自己到底是劳务关系还是劳动关系都搞不清楚，就更别说去详细的去看这些条款。
news_0018_0161 所以说一旦这权益受损呢，自身的权利是很难得到保障的。
news_0018_0162 一方面呢是劳动关系模糊，另外一方面是处罚不含糊。
news_0018_0163 很多人都知道，现在呀只要一个差评这网约工就会受罚。
news_0018_0164 而让他们郁闷的是呢，有些网约平台根本就不给申诉的机会，只要有投诉那就会去处罚。
news_0018_0165 有时候呢明明自己没犯错，结果一个投诉愣是让自己停工三天。
news_0018_0166 三天之后虽然说这账号解封了，但是这三天的损失却无处说理。
news_0019_0167 这也是现在不少网约平台常用的管理办法，叫做以罚代管。
news_0019_0168 另外呢就是保险的问题。
news_0019_0169 合同签约的时候呢企业都会说了哎呦给你买了保险。
news_0019_0170 但是哈这劳务关系和劳动关系的保险差别可就大了。
news_0019_0171 如果是劳动关系呢，那是要缴纳五险一金的。
news_0019_0172 而劳务关系呢，说是买保险，可能啊也就只是一份人身意外险而已。
news_0019_0173 工人日报表示，网约工的权益维护问题是一个全新的课题呀。
news_0019_0174 它需要的不仅仅是权威的解答，那更需要加快立法的速度，并且予以有效的监管。
news_0019_0175 咱们下期再见。
news_0020_0176 在咱们的日常生活当中啊可能经常会因为各种各样的原因，去开各种各样的奇葩证明，而这种事情在今后有望得到改善。
news_0020_0177 近日呢，国务院办公厅印发了关于做好证明事项清理工作的通知。
news_0020_0178 要求政府各部门对各类证明事项进行全面的清理。
news_0020_0179 目前呢，司法部已经成立了工作领导小组，要求今年年底之前完成清理工作。
news_0020_0180 没有法律法规规定的证明事项将会一律取消。
news_0020_0181 这次清理工作呢清理的不仅仅是各种奇葩证明。
news_0020_0182 它提出了六个一律，一是，没有法律法规规定的一律取消。
news_0020_0183 二是，能够通过个人现有的证照证明的一律取消。
news_0020_0184 三是，能够采取申请人书面承诺方式解决的，一律取消。
news_0020_0185 四是能被其它材料涵盖或者代替的一律取消。
news_0020_0186 五是能够通过网络核验的一律取消。
news_0020_0187 六是开据单位无法调查核实的一律取消。
news_0021_0188 那对于这次清理工作呢有网友担心了。
news_0021_0189 这，都清理好几回了，能不能确实的解决这个问题呢。
news_0021_0190 这种担心呢也并不是没有道理啊。
news_0021_0191 二零一六年公安部提出了取消二十类由公安派出所开具证明的事项。
news_0021_0192 比如说，什么证明你妈是你妈呀你孩子是你孩子呀这种。
news_0021_0193 只要是在一个户口本上，拿着户口本它就能证明了。
news_0021_0194 虽然说派出所不用开证明了。
news_0021_0195 但是呢你在办理其它业务的时候，像银行啊保险呐房产等部门呢，它们还是老样子。
news_0022_0196 为了防止这被取消的证明死灰复燃，这次通知要求，法律法规没有要求提供证明的一律取消。
news_0022_0197 各部门各地都不能擅自增加，对于已经取消和保留的证明事项。
news_0022_0198 行政机关要及时通过互联网等多种形式向社会公布名录，公布新的办事指南，防止出现管理和服务的真空。
news_0022_0199 如果说遇到一个部门取消的证明另外一个部门还要这该怎么办呢。
news_0022_0200 通知里也有明确的规定，可以用这内部核查和部门间的信息共享这样的方式来解决。
news_0022_0201 很多时候部门与部门之间一个电话能解决的事情，非得让老百姓跑个几趟。
news_0022_0202 在今后这种情况有望得到改善呢。
news_0023_0203 最近几天，我国中东部地区呢有多个省份的炎值爆表啦。
news_0023_0204 那这里说的炎值呢不是颜色的颜啊，而是炎热的炎。
news_0023_0205 六月二十七号中央气象台发布了今年首个高温预警。
news_0023_0206 像北京天津河北南部河南北部都是三十五摄氏度以上的高温。
news_0023_0207 部分地区的最高温度甚至是超过了四十摄氏度。
news_0023_0208 在这样的天气下呢，最辛苦的就是户外工作者了。
news_0023_0209 像快递员外卖员建筑工人交警等等。
news_0023_0210 这一天下来呀，衣服是湿了又干干了又湿啊来回得好几回。
news_0023_0211 有的外卖员他还得背一个大箱子，这里边还有加热和保温的功能，这在户外，就跟背着个火炉子一样。
news_0023_0212 另外呢在室内工作的炼钢工人，机械铸造工人，他们同样很辛苦。
news_0024_0213 每到这个时候啊咱们都跟大家提醒说。
news_0024_0214 有一项收入千万千万千万千万千万可别忘啦，那就是高温津贴。
news_0024_0215 虽然说啊各家媒体是年年提醒，同时呢，呃当然了也有部分的单位呢开始重视这个高温津贴了。
news_0024_0216 还是有部分的企业没把这高温津贴给当回事。
news_0024_0217 最近呢，北京青年报对北京的快递和外卖公司发放高温津贴的情况进行了调查。
news_0024_0218 结果就发现呢，在调查的九家快递公司当中，有五家没有高温津贴。
news_0024_0219 而在调查的六家外卖公司当中有两家是没有高温津贴的。
news_0024_0220 在北京呢，室外露天工作人员的高温津贴标准是每人每月一百八十块钱。
news_0025_0221 虽然说呢有了明确的规定，可是记者在调查当中还是发现。
news_0025_0222 不少的打工者他们并不了解这事，有些快递员在听说之后，第一反应往往是。
news_0025_0223 反正，搞不明白啊还有的就是说了。
news_0025_0224 哎呦，要啥自行车啊，要什么高温津贴呀对吧能把工资给了就不错了。
news_0025_0225 反映，谁敢反映万一反映了之后把我辞退了怎么办呢。
news_0025_0226 有劳动部门表示哈这个高温津贴是劳动者应得的权益。
news_0026_0227 如果说该发的不发，这员工呢可以向工会来寻求帮助，也可以向社保和安监等部门来举报。
news_0026_0228 另外呢，有一些单位不发高温津贴，只发一些防暑降温的饮料和药品。
news_0026_0229 那这些是不能够充抵高温津贴的。
news_0026_0230 劳动部门明确表示了，高温津贴是工资啊它不是福利。
news_0026_0231 北京市人社局表示，下周他们将开展高温津贴发放的专项执法检查。
news_0026_0232 如果说没有发放高温津贴，或者说低于标准来发放，劳动者可以向人社部门来举报。
news_0027_0233 现在呢有很多朋友都喜欢打游戏，经常三五好友一起邀着啊到网吧里面开个黑。
news_0027_0234 对于这网吧呀这电脑速度肯定不能慢，如果说这电脑速度奇慢。
news_0027_0235 你说我们打个游戏，个个都是坑队友，绝对会拍着桌子找老板来退钱。
news_0027_0236 而浙江温州有一家网吧老板刘先生，他就碰到了这样的情况。
news_0027_0237 他自己呀也觉得奇怪啊，为了吸引顾客他家里的网吧的宽带和电脑配置，都是达到了相当高的标准。
news_0027_0238 但是从去年七月份开始，网吧里呀所有的电脑运行速度都变得奇慢无比。
news_0027_0239 甭说什么大吉大利今晚吃鸡了啊，就连是最普通的上网搜索都卡的不行。
news_0028_0240 而更奇怪的是啊，电脑只要一开机，哪怕不运行任何的程序，这电脑系统资源的占有率都达到了百分之七十以上。
news_0028_0241 而更关键的是呢，电脑的耗电量变得越来越大了，电费也比以前高了很多。
news_0028_0242 更离奇的是呢，不仅仅是刘先生一家网吧这样，其它的啊当地的网吧也遇到了类似的情况。
news_0028_0243 这网吧老板们都以为，坏了，这电脑集体中毒了。
news_0028_0244 但是找了专业人员来查却查不出什么病毒。
news_0028_0245 无奈之下大家只好是报警求助。
news_0028_0246 警方这么一查，发现了这些个网吧电脑里呀，都被安装了不明程序。
news_0028_0247 这些程序都非常的隐蔽，只要这一开机它就会自动运行，而且会占用大量的系统资源。
news_0029_0248 那么这些程序是干什么用的呢，警方进一步分析发现哈。
news_0029_0249 它是一种挖矿程序，专门呢是用来获取一种网络虚拟货币的。
news_0029_0250 说这个挖矿啊可能有很多朋友不明白，呃说简单点，就是跟这获取比特币的方法差不多啊。
news_0029_0251 可能还是会有很多朋友不明白啊，但是熟悉电脑的朋友应该会知道。
news_0029_0252 想要获取这比特币等网络虚拟货币，需要这电脑啊不停地运算，这要耗费大量的电力。
news_0029_0253 同时啊电脑要有足够强的运算能力。
news_0029_0254 而网吧里的这个挖矿程序呀就跟强盗差不多。
news_0029_0255 它是绑架了别人的电脑花着别人的电费赚着自己的钱。
news_0029_0256 那这样的案例呢非常的少见，它也因此成为了公安部督办的案件。
news_0030_0257 经过分析呢，民警判断，想要安装这种程序，必须要有人为的操作才行。
news_0030_0258 经过排查，警方就发现了这所有出现问题的网吧呀，负责维护电脑的都是同一家公司。
news_0030_0259 警方判断的没错啊这一切，都是那家电脑维护公司的负责人捣的鬼。
news_0030_0260 他利用维护电脑的工作便利就偷偷安装了这个挖矿程序。
news_0030_0261 而这个程序，来自一个非法控制计算机信息系统的犯罪网络。
news_0030_0262 嫌疑人呢把程序向全国三十多个城市的近百家网络维护公司来推广。
news_0030_0263 据了解，这个程序总共挟持了全国几十万台网吧的电脑，涉案金额是达到了五百一十多万元。
news_0030_0264 目前警方已经从浙江云南湖南四川江西等地，抓获了十二名犯罪嫌疑人。
news_0030_0265 这事也提醒我们啊，网络安全不容忽视，尤其是自家电脑也千万别乱装不懂的程序。
news_0030_0266 特别是别人给你发来一些名字很有诱惑力的文件，让你打开看看。
news_0030_0267 这种时候，千万管住自己的手，不要轻易点开啊。
news_0031_0268 最近呢江苏南京一名男子方某，在申领驾照的时候就出了岔子。
news_0031_0269 因为这个方某啊他有吸毒的前科，所以在申领之前呢要去派出所做尿检。
news_0031_0270 结果这一检问题大了，结果显示这方某再次吸毒了。
news_0031_0271 但是这方某很委屈呀，他就坚持说呀。
news_0031_0272 我真的没有再吸了啊，如果吸了的话我怎么可能自投罗网来尿检呢。
news_0031_0273 仔细想想也对呀，于是呢民警就开始调查了解情况，就问这方某。
news_0031_0274 你最近是不是吃了什么药啊，或者说你是不是吃过什么特别的东西呀。
news_0032_0275 这方某思前想后哈自己生活没有什么异常啊。
news_0032_0276 想来想去，他想到最近几次吃早餐，都是在同一家饭店吃的砂锅。
news_0032_0277 该不会这个问题出在这个砂锅上吧。
news_0032_0278 随后呢民警对砂锅店就进行了检查，结果问题还真的就出在了砂锅上。
news_0032_0279 在这个砂锅的汤料当中检测出了吗啡成分。
news_0032_0280 随后呢民警在店主的家中也查出了使用的以及存储的罂粟果子六十六个。
news_0032_0281 至于为什么要把这罂粟果子加到砂锅里呢，店主又交代了。
news_0032_0282 自己家里呀老家种的这罂粟也不多啊，果子呢一直留在家里面。
news_0033_0283 因为这砂锅生意不好，所以从这五月份开始啊就往这砂锅汤料里面加了罂粟。
news_0033_0284 目前呢砂锅店的两名店主都已经被采取了刑事强制措施。
news_0033_0285 君子爱财取之有道，你说哪能为了提高客流量去添加罂粟危害他人的健康呢。
news_0033_0286 这最终的结果也只能是害人害己。
news_0033_0287 六月二十六号是国际禁毒日哈，咱们希望每天都是禁毒日。
news_0033_0288 别每年只到这个时候吼两嗓子，禁毒这事咱们天天都得禁，毒品害人，千万沾不得呀。
news_0034_0289 最近呢大学都迎来了毕业季啊，各个学校都在陆续举办毕业典礼。
news_0034_0290 在毕业典礼上校长和老师呢也会给学生们上离开校园前的最后一刻。
news_0034_0291 很多校长和老师的毕业致辞是或温情或哲理或幽默。
news_0034_0292 有的还不乏时髦，经常呢，会在网上火上一把。
news_0034_0293 有的呢被赞是接地气，有的被称很暖心，还有让人感动落泪。
news_0034_0294 咱们呢今天来细数一下他们都讲了些啥啊。
news_0034_0295 重庆工商大学孙芳城校长发表的毕业致辞，结合了近日刷屏的世界杯。
news_0034_0296 他就说了，说世界杯开始了，梅西心很累仍在坚持，C罗压力大依然力求突破。
news_0034_0297 请同学们在为球员打call的同时能够勇敢求真，不问东西。
news_0035_0298 上海大学金东寒校长也在毕业致辞当中提到了梅西，他就说了。
news_0035_0299 顺便呢还调侃了他一下。
news_0035_0300 他就说了啊，说这成功的背后，是无数次的挫折失败和痛苦。
news_0035_0301 说这话的时候呢现场屏幕上，就出现了梅西手抚额头的照片，现场四千多人立刻就笑成了一团。
news_0035_0302 这王校长还补充说。
news_0035_0303 你看，大家都很有感慨吧，点球都踢飞了，看来这梅西真的很忙啊。
news_0036_0304 那毕业致辞当中呢也有一些令人感动的。
news_0036_0305 像河南黄淮学院的校长谭珍，在毕业致辞当中对同学们说。
news_0036_0306 说请一定要大胆的扶起摔倒的老人，也不要轻易的给迟到了几分钟的外卖小哥差评。
news_0036_0307 人生着实不易，宽容他人也是在照亮自己。
news_0036_0308 江苏淮阴师范学院的葛志伟老师说了。
news_0036_0309 人走茶凉很伤感，但更伤感的是，人走之后连茶杯都被扔了。
news_0036_0310 但是，我们会保留你们的点名册，论文，想起你们的时候，还可以拥抱一下这堆材料。
news_0037_0311 在今年的毕业典礼上，校长们的致辞都很接地气。
news_0037_0312 很多流行的热词呢也是纷纷被高校校长们引用。
news_0037_0313 除了讲人生，还有不少的校长致辞非常的温情。
news_0037_0314 比如说黑龙江佳木斯大学的校长在毕业致辞的最后，就诚挚的邀请大家吃饺子，他就说了。
news_0037_0315 我们的食堂有一句名言，外卖天天有食堂只四年，且吃且珍惜呀。
news_0037_0316 学校为大家提供的送行饺子请务必品尝一下，饺子顿顿都相似，今天这顿总不同。
news_0038_0317 毕业季温情话离别是总也绕不过的主旋律。
news_0038_0318 四川成都师范学院的刘宏仁教授，作为教师代表也为毕业生送上了祝福，他就说了。
news_0038_0319 母校最对不起你们的是欠你们一个男朋友。
news_0038_0320 原来呀这成都师范学院的男女生的比例是一比九，男生少，女生多呀。
news_0038_0321 毕业致辞越来越温情呢自然也受到学生乃至社会越来越多的欢迎。
news_0038_0322 对于这件事呢，长城网也评论啊。
news_0038_0323 它的标题是毕业致辞越来越人性化这就对了。
news_0039_0324 文章说了，说这样的临别赠言呢让人欣慰，也让人感慨。
news_0039_0325 不论哪种形式的毕业致辞，对于大学生而言，是大学岁月的余音。
news_0039_0326 这背后是校长们想让学生牢记大学最后一课的拳拳之心。
news_0039_0327 透过新鲜非常态的表述，我们看到大学师长，如同老人对远行的儿子和出嫁的姑娘一样再三叮嘱。
news_0039_0328 看似唠叨的背后，是过来人实实在在的肺腑之言。
news_0039_0329 我们希望这样的最后一课能够变成日常教育。
news_0039_0330 期待这种回归在平时教育当中也能有所体现，让我们的大学，真正的成为精神的高地呀。
news_0040_0331 现在呢大部分的小区都有物业公司在管理，每户人家都要按月缴纳物业费。
news_0040_0332 那对于物业公司来说，这收取物业费呢就是按户来收取的。
news_0040_0333 但是也有一个小问题啊，如果说我长期不住在这个小区。
news_0040_0334 或者说房子装修完了我就一直晾着没住进来，那这个物业费我还要全额交付吗。
news_0040_0335 类似于这种情况的房子空置呢可不是个个例呀，尤其是在新建的小区。
news_0041_0336 近日山东省公布了物业服务收费管理办法。
news_0041_0337 其中就规定了，普通住宅交付之后，空置六个月以上的物业公共服务费应当减收。
news_0041_0338 办理空置的程序和具体的减收比例，可以由当地政府的价格主管部门和物业主管部门来协定。
news_0041_0339 但是收取的费用最高不得超过百分之六十。
news_0041_0340 那简单来说啊，如果说房子长期不住，那物业费至少可以给你打个六折。
news_0041_0341 其实在很多小区呀，新房交房领钥匙的时候，都说你想拿钥匙，你得先交上个半年或者一年的物业费。
news_0041_0342 青岛的市民潘女士就说了啊，她身边很多朋友买房子的时候都遇到过类似的情况。
news_0042_0343 但是你想想啊，物业费交完了钥匙拿到手了你房子总得装修吧。
news_0042_0344 这装修完了还得通风和透气吧，房子很有可能一两年都住不进去。
news_0042_0345 而这物业费却必须得照交，这好像有点不太合理啊。
news_0042_0346 那除了物业费打折之外呢，这份办法还规定了。
